"","Survey","Quarter","StNo","HaulNo","Year","Month","Day","TimeShot","Stratum","HaulDur","StatRec","Depth","Distance","long","lati","Valid_Aphia","SpecCodeType","SpecCode","AreaType","AreaCode","LngtCode","LngtClass","Sex","Maturity","PlusGr","Age","IndWgt","NoAtALK","scientificname"
"1","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",370,"F",62,NA,1,495,1,"Gadus_morhua"
"2","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",360,"F",62,NA,1,474,1,"Gadus_morhua"
"3","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",350,"F",61,NA,1,424,1,"Gadus_morhua"
"4","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",300,"F",61,NA,1,255,1,"Gadus_morhua"
"5","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",320,"M",61,NA,1,293,1,"Gadus_morhua"
"6","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",310,"M",61,NA,1,299,1,"Gadus_morhua"
"7","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",350,"F",62,NA,1,433,1,"Gadus_morhua"
"8","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",390,"M",62,NA,1,605,1,"Gadus_morhua"
"9","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",500,"M",62,NA,1,1166,1,"Gadus_morhua"
"10","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",270,"F",61,NA,1,202,1,"Gadus_morhua"
"11","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",550,"M",62,NA,2,1959,1,"Gadus_morhua"
"12","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126436,"W",126436,"0","32E2",".",600,"F",62,NA,2,2148,1,"Gadus_morhua"
"13","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126437,"W",126437,"0","32E2",".",370,"F",62,NA,2,538,1,"Melanogrammus_aeglefinus"
"14","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126437,"W",126437,"0","32E2",".",410,"F",62,NA,2,665,1,"Melanogrammus_aeglefinus"
"15","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126437,"W",126437,"0","32E2",".",410,"F",62,NA,2,686,1,"Melanogrammus_aeglefinus"
"16","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126437,"W",126437,"0","32E2",".",370,"M",62,NA,4,468,1,"Melanogrammus_aeglefinus"
"17","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",380,"F",62,NA,1,465,1,"Merlangius_merlangus"
"18","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",230,"F",62,NA,1,98,1,"Merlangius_merlangus"
"19","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",250,"M",62,NA,1,118,1,"Merlangius_merlangus"
"20","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",330,"F",62,NA,2,338,1,"Merlangius_merlangus"
"21","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",240,"M",62,NA,2,135,1,"Merlangius_merlangus"
"22","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",320,"M",62,NA,4,246,1,"Merlangius_merlangus"
"23","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",230,"M",62,NA,1,112,1,"Merlangius_merlangus"
"24","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",260,"M",62,NA,1,137,1,"Merlangius_merlangus"
"25","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",310,"F",62,NA,1,255,1,"Merlangius_merlangus"
"26","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",250,"M",62,NA,1,129,1,"Merlangius_merlangus"
"27","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",320,"M",62,NA,3,281,1,"Merlangius_merlangus"
"28","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",310,"M",62,NA,1,255,1,"Merlangius_merlangus"
"29","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",250,"M",62,NA,1,121,1,"Merlangius_merlangus"
"30","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",280,"M",62,NA,1,165,1,"Merlangius_merlangus"
"31","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",260,"M",62,NA,1,151,1,"Merlangius_merlangus"
"32","EVHOE",4,"X0584",138,2019,12,2,1529,2,0.5,"32E2",77,3604,-7.43845,51.6255,126438,"W",126438,"0","32E2",".",270,"F",62,NA,1,151,1,"Merlangius_merlangus"
